whatsapp_count,phone_count,email_count,total_interactions,dominant_channel,first_channel,last_channel,is_multi_channel,channel_switch_count,conversation_time_hours,conv_time_bucket,recency_bucket,engagement_depth,channel_x_stage,historical_deals_won,sale_score
1,1,1,1,2,2,1,1,1,1,1,2,1,19,1,0.0763
1,1,1,1,3,3,3,1,1,1,1,3,1,36,1,0.1038
1,1,1,1,3,2,2,1,1,1,1,4,1,31,1,0.1474
2,1,2,2,1,1,1,1,1,2,5,2,1,8,2,0.6608
3,2,3,3,1,1,1,1,1,3,2,2,3,6,1,0.3729
2,2,2,2,3,3,1,1,1,2,4,4,2,26,1,0.78
3,1,3,3,3,3,1,1,3,3,2,1,3,32,1,0.2377
2,2,2,2,1,3,3,1,2,2,4,1,2,9,1,0.479
1,2,1,1,2,2,2,1,1,1,1,4,1,19,1,0.2622
1,3,1,1,2,2,2,0,0,1,1,4,1,24,2,0.5038
3,2,2,3,3,3,1,1,1,2,5,3,2,25,1,0.861
3,2,2,3,3,3,2,1,2,3,2,1,3,34,3,0.8439
1,1,1,1,1,1,1,0,0,1,1,3,1,6,1,0.0421
2,1,2,2,1,1,1,1,1,3,2,1,2,9,3,0.5034
3,1,3,3,3,3,3,1,2,3,2,2,3,30,1,0.3141
2,2,2,2,3,3,3,1,3,2,4,4,2,33,2,0.8991
1,1,2,1,1,1,1,0,0,2,4,1,1,9,1,0.1036
3,3,2,3,3,3,3,1,3,3,2,2,3,26,3,0.9663
2,2,1,2,3,3,3,1,3,1,3,1,2,34,3,0.8565
1,2,2,1,2,1,2,1,1,3,2,1,2,23,1,0.2009
2,2,2,2,3,3,2,1,1,2,5,2,2,26,3,0.9687
3,3,2,3,3,3,1,1,2,3,2,2,3,25,3,0.9631
3,3,2,3,3,3,1,1,2,3,2,2,3,26,3,0.9613
2,2,2,2,3,1,1,1,3,2,4,3,2,35,2,0.8344
2,1,2,2,1,1,1,1,1,2,5,2,2,9,1,0.371
2,2,2,2,3,1,3,1,1,2,4,3,2,32,1,0.6603
2,1,1,1,3,3,1,1,1,2,4,1,2,32,1,0.3533
2,2,2,2,3,3,3,1,2,2,5,2,2,34,3,0.9581
1,1,1,1,1,1,1,0,0,1,3,2,1,5,1,0.086
1,1,1,1,3,1,1,1,1,3,2,3,1,29,1,0.2049
2,3,2,2,1,3,3,1,2,3,2,1,3,2,2,0.7878
3,1,2,3,3,1,1,1,2,3,2,2,3,30,1,0.252
2,2,2,2,3,3,3,1,1,3,2,3,2,34,1,0.4547
2,3,2,3,1,2,2,1,1,2,4,2,2,2,2,0.8955
1,1,1,1,1,1,1,0,0,1,1,2,1,10,1,0.0271
2,3,3,3,1,2,2,1,3,3,2,2,3,1,3,0.9268
3,3,2,3,3,2,2,1,1,2,5,3,3,26,3,0.9914
2,1,2,2,1,3,3,1,3,3,2,2,2,10,2,0.3705
2,2,2,2,1,3,3,1,3,2,5,3,2,9,2,0.8848
1,1,1,1,1,1,1,1,1,1,3,2,1,8,1,0.1378
2,2,2,2,3,3,1,1,3,2,4,1,3,34,3,0.9085
3,3,2,3,3,3,2,1,3,2,4,2,3,25,2,0.9593
1,1,1,1,1,1,1,0,0,1,1,2,1,7,1,0.0314
1,2,2,2,1,1,1,1,3,2,5,1,2,10,3,0.8658
2,2,2,2,3,3,1,1,1,2,5,3,2,33,2,0.9016
2,1,2,2,1,3,3,1,3,2,5,2,2,9,2,0.706
2,1,2,2,1,3,2,1,2,3,2,1,2,8,2,0.3137
1,1,2,1,1,1,1,0,0,2,5,4,1,10,2,0.528
2,2,2,2,3,3,2,1,2,2,5,3,2,26,3,0.9769
2,2,2,2,3,1,1,1,2,2,5,3,2,33,1,0.744
1,1,1,1,3,1,1,1,1,1,1,2,1,29,1,0.0936
2,2,2,2,1,3,3,1,3,3,2,2,2,6,2,0.6412
2,1,2,2,1,1,1,1,1,2,5,3,2,3,1,0.5074
2,2,2,2,3,1,2,1,2,2,4,3,2,35,2,0.8324
2,2,2,2,1,1,1,1,2,2,5,2,2,9,3,0.9302
1,2,2,2,2,3,3,1,1,3,2,1,2,16,3,0.7504
1,1,2,1,1,3,1,1,2,3,2,2,2,11,2,0.2682
3,3,2,3,3,1,1,1,2,2,4,3,3,25,3,0.9861
3,2,1,3,3,3,3,1,1,2,5,1,3,26,1,0.7667
1,1,2,2,1,3,1,1,3,2,4,4,2,2,2,0.667
1,1,3,2,1,1,1,1,1,2,4,2,2,5,2,0.471
3,2,2,2,3,3,3,1,3,2,5,1,3,25,3,0.978
3,1,2,2,3,1,3,1,2,2,5,2,2,26,3,0.9513
2,3,1,2,2,2,2,1,3,1,3,3,2,23,1,0.6696
3,2,2,3,3,2,3,1,2,2,5,1,3,30,2,0.8955
2,1,2,2,1,3,3,1,3,2,5,1,2,10,2,0.6391
1,1,3,1,1,1,1,0,0,3,2,3,1,9,2,0.205
2,3,2,3,3,2,1,1,1,3,2,2,3,33,2,0.7657
2,3,2,2,2,3,2,1,3,3,4,1,2,22,2,0.8948
2,1,2,2,3,1,1,1,1,2,4,3,2,33,3,0.8547
2,3,2,2,2,3,3,1,3,3,2,2,2,18,2,0.8425
3,3,2,3,3,1,1,1,2,2,4,2,3,25,3,0.9822
2,1,2,2,1,1,1,1,1,2,5,2,2,3,2,0.7008
3,1,1,2,3,3,2,1,3,2,4,2,2,25,3,0.9304
1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,0.0452
3,3,2,3,3,3,3,1,3,2,5,3,3,26,1,0.9434
3,3,2,3,3,3,3,1,3,3,2,2,3,25,3,0.9679
3,3,2,3,3,3,3,1,1,3,2,3,3,26,2,0.9183
3,3,2,3,3,1,2,1,1,3,2,2,3,34,3,0.9349
1,1,1,1,1,1,1,0,0,1,1,4,1,12,1,0.0402
2,2,2,2,1,3,2,1,1,2,5,3,2,2,3,0.9648
2,2,2,2,3,3,3,1,2,2,4,1,2,32,1,0.5847
3,1,2,2,3,1,3,1,1,1,3,3,2,26,3,0.8926
1,2,1,1,2,1,2,1,2,1,1,4,1,19,1,0.2607
3,3,2,3,3,3,3,1,3,3,2,2,3,34,3,0.9503
3,1,2,2,3,3,1,1,1,2,4,1,2,29,2,0.7302
2,2,3,2,1,3,3,1,3,2,4,1,2,10,2,0.7485
3,2,2,3,3,2,2,1,1,2,4,4,3,34,3,0.961
1,1,1,1,2,3,3,1,1,1,1,4,1,19,1,0.1375
1,3,1,2,2,2,1,1,1,1,3,3,2,23,1,0.5182
1,1,2,1,1,1,1,1,2,3,2,1,2,5,1,0.1035
1,1,1,1,2,2,2,0,0,1,3,2,1,20,1,0.0979
1,2,2,2,2,3,2,1,2,2,4,3,2,21,1,0.5231
2,1,1,1,3,3,3,1,2,3,2,2,2,32,1,0.2531
2,3,1,2,2,2,1,1,3,1,1,4,2,23,2,0.737
3,1,2,2,3,1,1,1,1,2,4,3,2,32,1,0.5367
2,2,1,2,3,3,3,1,3,2,5,2,2,26,2,0.9185
3,2,2,3,3,2,2,1,2,3,2,4,3,28,3,0.9364
3,2,3,3,3,1,1,1,1,3,2,4,3,34,1,0.5404
2,2,2,2,3,1,1,1,1,2,4,1,2,26,3,0.9259
2,2,1,2,3,3,3,1,1,2,4,2,2,32,2,0.821
1,1,2,1,1,1,1,1,1,2,4,2,1,9,2,0.4637
2,2,2,2,1,3,3,1,3,2,5,2,2,10,1,0.6589
2,3,2,3,1,2,2,1,1,2,5,3,2,1,2,0.9495
3,1,3,3,3,1,3,1,2,3,2,2,3,34,1,0.2474
1,1,2,1,1,1,2,1,2,2,4,2,2,5,1,0.2713
2,1,2,2,1,3,3,1,1,2,4,1,2,8,2,0.5193
2,1,1,1,3,1,3,1,2,1,3,1,2,34,3,0.7087
3,3,3,3,3,1,2,1,2,2,4,2,3,34,2,0.9316
1,1,1,1,2,2,2,0,0,1,3,4,1,17,1,0.1735
1,1,2,1,1,3,3,1,1,3,2,2,1,11,1,0.1211
3,1,1,2,3,3,3,1,3,2,5,1,2,28,2,0.8368
1,1,1,1,2,2,3,1,1,1,1,4,1,19,1,0.1301
2,2,2,2,3,3,3,1,1,2,4,1,2,25,2,0.8475
3,3,1,3,3,3,3,1,1,2,5,2,3,25,2,0.9701
3,2,2,3,3,2,2,1,2,2,4,4,3,36,1,0.7324
1,1,1,1,1,1,1,0,0,1,1,2,1,7,1,0.0314
1,1,1,1,2,2,2,0,0,1,1,2,1,19,1,0.0417
1,2,2,1,2,3,1,1,1,2,5,1,2,21,2,0.7753
3,2,2,3,3,3,3,1,2,2,5,3,2,25,1,0.8772
2,1,2,2,3,1,1,1,1,3,2,2,2,30,1,0.2048
1,3,1,2,2,2,2,0,0,1,3,4,2,20,2,0.7142
2,1,2,2,3,1,1,1,3,2,5,3,2,33,2,0.7844
2,3,2,2,2,1,2,1,2,2,4,1,2,14,3,0.966
3,1,3,3,3,3,2,1,1,3,2,2,3,34,1,0.2529
3,2,2,3,3,2,2,1,1,3,4,3,3,34,2,0.8767
3,1,3,3,3,3,3,1,3,3,2,4,3,30,1,0.4462
1,2,1,1,2,2,3,1,1,1,1,4,1,24,1,0.2236
2,2,2,2,3,3,3,1,3,2,4,2,2,25,1,0.7325
3,2,1,2,3,3,3,1,2,2,4,1,3,26,3,0.9574
2,2,1,2,3,3,3,1,1,3,2,2,2,30,1,0.4192
2,1,3,2,1,3,1,1,3,2,4,1,2,9,2,0.5367
2,3,1,2,3,1,2,1,2,2,4,1,2,25,3,0.9705
1,1,3,2,1,1,1,1,2,2,4,2,2,5,1,0.2432
3,2,1,2,3,3,3,1,2,2,5,2,2,25,3,0.9814
3,1,1,2,3,3,3,1,3,2,5,1,2,34,3,0.9174
3,1,3,3,3,1,1,1,1,3,2,2,3,30,1,0.2587
2,2,2,2,1,1,1,1,2,1,3,3,2,3,2,0.7347
2,2,2,2,3,3,3,1,3,2,4,2,2,34,2,0.8359
1,1,2,1,1,1,1,1,1,2,4,3,1,5,1,0.3175
1,1,1,1,1,1,1,1,1,3,2,3,1,7,1,0.1379
2,2,2,2,3,3,3,1,1,2,4,4,2,26,3,0.9708
2,2,1,2,3,3,3,1,2,2,5,1,2,26,1,0.7379
2,1,2,1,1,3,3,1,2,2,4,2,2,6,2,0.6651
2,1,2,1,3,1,1,1,2,2,4,3,2,32,2,0.731
1,2,1,1,2,2,2,1,1,1,1,4,1,19,1,0.2622
2,2,2,2,3,3,3,1,2,2,4,1,2,28,3,0.9368
1,1,2,1,1,1,1,1,1,2,5,3,1,8,1,0.3929
1,2,1,1,2,2,1,1,2,1,1,4,1,22,1,0.2364
1,1,2,1,1,1,1,1,1,3,2,3,1,10,1,0.131
1,3,2,2,2,2,2,1,2,1,1,3,2,19,1,0.3785
2,3,2,2,3,3,2,1,1,2,4,3,3,26,1,0.8693
3,3,2,3,3,3,3,1,2,2,5,1,3,25,3,0.9885
2,2,1,2,3,1,1,1,1,2,5,4,2,26,3,0.9753
3,1,1,2,3,3,3,1,3,2,5,1,2,25,2,0.8565
2,2,2,2,3,3,3,1,2,2,4,3,2,33,1,0.69
3,2,1,3,3,3,1,1,3,2,4,1,3,26,3,0.9473
3,2,2,2,3,3,3,1,1,1,3,3,2,34,3,0.9399
2,2,2,2,3,3,3,1,1,3,2,2,2,30,1,0.4418
2,1,2,1,1,3,3,1,2,2,5,2,1,11,2,0.7277
1,3,2,2,2,2,2,1,1,1,1,4,2,19,2,0.6851
2,1,2,1,3,3,3,1,1,2,4,4,2,34,2,0.7876
1,1,1,1,3,3,1,1,1,1,3,2,1,32,1,0.2092
2,3,2,2,2,2,2,1,3,2,4,2,2,14,3,0.9764
2,2,2,2,3,3,3,1,1,3,2,3,2,25,2,0.794
2,2,2,2,1,3,3,1,2,2,5,4,2,12,1,0.7327
1,1,1,1,2,2,2,1,1,1,3,2,1,17,1,0.1999
3,1,1,2,3,1,1,1,1,1,3,3,2,34,3,0.8228
2,3,2,3,2,3,1,1,1,2,4,1,3,14,3,0.9573
3,2,3,3,3,3,1,1,3,3,2,2,3,29,1,0.5372
2,2,1,1,2,1,2,1,2,2,5,4,2,22,3,0.9671
2,1,2,1,3,3,3,1,2,2,5,2,1,34,2,0.8036
1,1,1,1,1,1,1,0,0,1,1,2,1,5,1,0.0346
1,2,1,1,2,2,2,0,0,1,1,4,1,24,1,0.1224
2,2,2,2,3,3,3,1,1,2,4,2,2,28,3,0.9475
3,2,2,3,3,2,2,1,3,2,4,4,3,34,3,0.965
1,2,2,1,2,2,1,1,1,1,1,1,1,20,2,0.3269
1,1,1,1,3,1,3,1,1,1,1,4,1,36,1,0.1161
1,1,3,2,1,1,1,0,0,2,4,3,1,10,1,0.1413
2,2,2,2,1,1,3,1,1,2,5,3,2,10,1,0.6614
1,2,1,1,2,1,1,1,1,1,1,3,1,19,1,0.1984
1,1,1,1,1,1,1,0,0,1,1,4,1,8,1,0.0488
2,1,2,2,3,3,3,1,2,2,4,4,2,34,3,0.9044
3,2,2,2,3,2,2,1,2,2,5,1,3,25,3,0.9742
3,2,1,3,3,3,2,1,2,2,5,4,3,25,2,0.9566
3,1,2,3,3,3,3,1,2,3,2,2,3,29,1,0.3051
2,2,2,2,1,1,3,1,3,3,2,2,2,6,1,0.3488
3,1,2,2,3,3,2,1,2,2,4,3,2,34,3,0.9188
2,1,3,3,1,1,1,1,3,2,4,2,3,6,1,0.2856
2,2,2,2,3,2,3,1,1,2,4,2,2,28,2,0.8524
3,2,2,2,3,3,3,1,3,1,3,1,2,34,3,0.9134
2,1,2,2,1,3,1,1,2,2,5,2,2,8,1,0.4276
2,1,3,2,1,1,2,1,1,2,4,2,2,9,2,0.5501
3,1,2,3,3,3,3,1,1,3,2,1,3,32,1,0.2166
3,3,2,3,3,3,3,1,3,3,2,3,3,26,3,0.9736
1,1,2,1,1,1,1,1,2,3,2,2,2,6,1,0.124
1,1,1,1,1,2,2,1,1,1,1,4,1,8,1,0.1014
2,1,2,2,1,3,3,1,2,2,4,2,2,10,1,0.3124
2,1,2,2,1,1,2,1,3,2,4,1,2,10,2,0.4795
2,3,2,3,2,3,3,1,1,3,2,3,3,14,2,0.8525
1,1,2,1,1,3,3,1,2,2,5,3,2,10,1,0.4174
1,1,1,1,1,1,1,0,0,1,1,4,1,5,1,0.0563
1,2,1,1,2,1,1,1,1,1,1,4,1,24,1,0.1986
2,3,2,2,2,2,1,1,2,1,3,1,2,23,1,0.5475
2,3,3,3,2,1,1,1,1,2,4,3,3,14,3,0.9729
3,3,2,3,3,1,2,1,3,3,2,3,3,29,3,0.9639
1,1,1,1,2,3,3,1,1,1,1,4,1,14,1,0.1704
2,3,1,2,3,3,3,1,2,2,5,1,2,25,3,0.9844
2,3,2,2,3,2,2,1,2,2,4,3,2,28,3,0.9821
2,2,2,2,3,3,3,1,3,3,2,3,2,26,3,0.9233
2,2,2,2,1,3,3,1,1,3,2,1,3,8,3,0.7538
1,1,3,1,1,1,1,0,0,2,5,3,1,10,2,0.4875
2,2,1,2,2,2,2,1,2,2,4,3,2,14,2,0.8633
1,1,2,1,1,1,1,1,1,3,4,2,1,8,1,0.2531
1,1,2,1,1,1,1,0,0,3,2,2,2,8,2,0.1519
3,3,2,3,3,3,3,1,1,2,4,2,3,25,3,0.9847
2,1,2,1,3,1,1,1,1,2,4,2,1,35,1,0.3845
3,2,3,3,3,2,2,1,2,2,4,2,3,26,3,0.9626
2,2,2,2,1,1,2,1,2,2,5,3,2,3,1,0.7384
3,3,2,3,3,3,2,1,1,2,4,3,3,26,2,0.9627
2,2,2,2,2,3,3,1,3,2,5,4,2,14,2,0.9445
2,2,2,2,3,3,3,1,2,2,5,2,2,25,2,0.9247
1,1,1,1,1,1,1,0,0,1,1,3,1,12,1,0.0315
3,2,1,3,3,3,3,1,1,2,4,3,3,34,3,0.9509
1,1,2,1,1,1,1,1,1,2,4,1,1,8,1,0.1938
1,1,2,1,1,1,1,0,0,3,2,1,1,10,2,0.1185
1,1,3,2,1,1,2,1,1,2,4,1,2,5,1,0.1973
2,2,2,2,1,1,2,1,2,3,2,3,2,8,1,0.361
3,3,2,3,3,3,3,1,1,2,5,1,3,25,1,0.9039
2,2,2,2,1,1,2,1,3,2,5,1,2,2,1,0.6541
2,3,2,2,2,3,3,1,2,2,4,3,2,13,2,0.9526
2,2,2,2,3,1,2,1,2,3,2,1,2,33,3,0.8018
1,1,1,1,3,1,1,1,1,1,1,4,1,31,1,0.1344
1,1,2,1,1,1,1,0,0,2,5,3,1,8,2,0.4897
1,1,3,2,1,1,1,1,3,2,4,4,2,8,1,0.3271
3,2,2,3,3,1,1,1,3,2,4,3,3,34,1,0.6907
3,3,2,3,3,3,1,1,3,2,4,1,3,26,1,0.8503
3,2,2,3,3,3,2,1,1,2,5,1,2,26,2,0.9156
2,2,2,2,1,3,3,1,3,3,2,3,2,10,2,0.6531
1,3,2,2,2,2,2,1,1,1,1,3,2,24,1,0.3088
2,2,2,2,3,3,3,1,3,2,4,2,2,32,2,0.8493
3,3,3,3,3,1,3,1,1,3,2,1,3,26,3,0.9503
1,1,3,2,1,1,1,1,1,2,4,3,2,10,2,0.4714
1,1,1,1,2,2,2,0,0,3,2,3,1,24,1,0.0778
2,3,2,3,2,3,3,1,3,3,2,1,3,13,3,0.9232
2,3,2,2,2,1,1,1,3,2,4,1,3,14,3,0.9642
3,1,3,3,3,1,3,1,1,3,2,1,3,26,1,0.2652
1,1,1,1,1,1,1,0,0,1,1,2,1,8,1,0.0299
2,3,2,2,2,1,1,1,1,2,5,1,2,13,3,0.9777
1,2,2,1,2,3,3,1,1,2,5,3,2,21,1,0.6806
3,3,2,3,3,3,3,1,3,2,4,3,3,25,3,0.9894
1,1,3,2,1,1,1,0,0,3,2,2,2,5,2,0.1581
2,1,1,1,3,3,1,1,1,3,2,3,1,32,2,0.5433
1,1,2,1,1,1,1,1,2,3,4,2,2,9,1,0.2416
3,2,2,3,3,3,3,1,3,3,4,3,3,26,2,0.9301
3,1,3,3,1,3,3,1,3,3,2,2,3,5,1,0.2594
1,2,1,1,2,1,1,1,2,3,2,4,2,24,1,0.3216
1,1,2,1,1,1,2,1,2,2,5,1,2,8,2,0.5408
2,3,2,2,2,2,2,1,3,2,4,1,2,22,2,0.8795
1,3,2,2,2,2,2,1,1,1,3,4,2,15,2,0.8747
2,1,2,1,1,3,3,1,1,3,2,3,2,11,1,0.2108
2,2,2,2,2,3,3,1,1,2,4,3,2,22,2,0.8293
1,1,2,1,1,1,2,1,1,2,5,1,1,10,1,0.2686
2,2,3,2,1,3,3,1,2,2,4,3,3,9,1,0.6102
2,1,2,1,1,1,1,1,2,2,5,2,1,9,1,0.4486
2,2,2,2,3,3,2,1,2,3,2,1,2,30,1,0.3837
1,1,2,1,1,1,1,1,1,2,5,1,1,5,1,0.3118
1,3,2,2,2,2,2,1,2,1,3,3,2,18,1,0.6266
3,2,2,3,3,3,3,1,2,3,2,3,3,28,2,0.8125
2,3,2,3,3,3,3,1,1,2,4,1,3,34,2,0.8703
3,2,3,3,1,1,1,1,3,3,2,3,3,5,1,0.4748
1,1,1,1,1,1,1,0,0,1,1,2,1,7,1,0.0314
1,2,2,1,2,3,1,1,2,2,5,2,2,21,1,0.6163
3,2,2,2,3,1,1,1,2,2,4,3,2,26,3,0.9726
2,1,2,2,1,1,1,1,3,2,5,1,2,2,3,0.8627
1,1,1,1,2,2,2,0,0,1,1,2,1,19,1,0.0417
1,3,1,2,2,2,3,1,3,1,3,4,2,19,2,0.8587
1,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0.126
2,3,2,3,2,3,3,1,3,2,4,1,3,14,3,0.9648
1,1,1,1,2,1,1,1,1,1,1,4,1,19,1,0.114
2,1,2,2,1,1,2,1,1,3,2,3,2,11,1,0.156
2,3,2,3,2,3,3,1,1,3,2,1,3,17,2,0.7492
1,3,1,2,2,2,3,1,2,1,1,4,2,24,2,0.6299
1,1,1,1,3,2,2,1,1,1,1,4,1,36,1,0.1183
1,1,1,1,3,3,3,1,1,1,1,3,1,36,1,0.1038
2,3,1,2,2,2,3,1,2,1,3,2,2,19,2,0.8476
1,1,1,1,3,3,2,1,1,1,1,4,1,36,1,0.1252
2,3,3,3,1,3,3,1,1,3,2,3,2,10,2,0.7897
3,1,2,2,3,3,3,1,3,2,5,4,2,34,3,0.9631
1,3,2,2,2,2,2,1,2,1,3,3,2,19,1,0.6147
3,3,2,3,3,3,1,1,1,2,4,4,3,25,1,0.9196
1,2,1,1,2,1,1,1,1,1,1,4,1,20,1,0.2328
3,3,2,3,3,3,2,1,1,2,4,3,3,34,1,0.8545
1,2,2,2,1,3,3,1,2,2,5,3,2,10,2,0.8107
1,1,1,1,1,1,1,0,0,1,1,1,1,7,1,0.0245
1,3,1,1,2,2,2,1,1,1,3,3,2,14,2,0.8633
1,1,3,2,1,1,1,0,0,3,2,2,2,5,1,0.0602
2,3,2,2,2,3,2,1,2,2,5,2,2,14,3,0.9854
2,1,1,1,3,3,3,1,2,3,2,2,2,30,1,0.2727
2,2,2,2,3,3,3,1,1,2,4,3,2,28,3,0.9588
2,1,2,2,1,3,3,1,3,2,5,1,2,12,1,0.353
3,1,2,2,3,1,3,1,1,2,4,3,2,34,2,0.7699
3,1,2,3,3,3,3,1,3,3,2,1,3,25,2,0.5642
3,2,2,3,3,1,1,1,3,3,2,2,3,32,1,0.4443
2,3,2,3,2,1,3,1,3,2,4,1,3,22,3,0.9414
2,3,2,2,2,3,2,1,1,2,4,1,2,14,2,0.9123
3,2,2,3,3,3,3,1,2,2,5,1,3,26,2,0.918
1,3,2,2,2,2,1,1,3,1,1,3,2,23,1,0.3353
3,1,3,3,3,1,1,1,2,3,2,1,3,30,1,0.2227
2,2,2,2,3,1,1,1,1,2,5,2,2,33,3,0.9482
3,2,2,3,3,3,3,1,2,2,5,1,3,34,3,0.9563
2,1,3,2,3,1,1,1,1,3,2,1,2,34,1,0.1517
3,3,2,3,3,1,3,1,2,3,2,2,3,34,2,0.844
3,3,1,2,3,3,1,1,3,2,5,1,3,26,3,0.9887
2,3,1,2,2,2,2,1,1,1,3,3,2,19,1,0.6889
1,1,1,1,3,3,3,0,0,1,1,3,1,36,1,0.0553
2,2,2,2,3,1,1,1,1,2,5,1,2,35,1,0.5988
3,1,3,3,3,1,1,1,2,3,2,3,3,32,1,0.301
1,3,2,2,2,2,1,1,2,1,3,1,2,23,2,0.6878
1,2,2,1,2,1,1,1,1,3,2,2,2,20,1,0.2655
3,2,2,2,3,3,3,1,1,3,2,1,2,29,1,0.5098
2,3,2,2,2,3,3,1,1,3,2,1,2,13,1,0.6191
1,1,2,1,1,1,2,1,2,2,4,1,1,8,1,0.2099
2,1,2,2,1,3,3,1,3,3,2,1,2,6,1,0.16
1,3,1,2,2,2,2,1,3,1,1,1,2,16,1,0.2915
1,3,1,2,2,2,2,1,2,3,2,2,2,14,2,0.7588
2,2,1,2,3,1,1,1,2,2,5,2,2,25,3,0.9636
3,3,2,3,3,1,1,1,1,3,2,2,3,26,2,0.8755
2,3,2,2,2,3,2,1,1,3,2,2,3,13,3,0.9416
2,2,2,2,1,3,1,1,3,2,5,3,2,10,1,0.6957
1,1,3,2,1,1,1,0,0,2,5,2,1,5,2,0.4383
1,1,2,1,1,1,1,0,0,2,5,2,1,9,1,0.1944
2,2,1,2,3,1,1,1,1,2,4,1,2,25,3,0.923
2,3,2,2,2,2,2,1,1,1,1,4,2,19,1,0.5444
1,1,1,1,2,1,1,1,1,1,3,2,1,19,1,0.1686
2,2,2,2,3,3,3,1,1,2,5,1,2,26,2,0.8953
3,2,3,3,3,1,1,1,1,3,2,1,3,30,1,0.4017
1,2,2,2,1,1,3,1,1,2,5,3,2,10,3,0.9125
2,2,2,2,2,3,1,1,1,2,4,3,2,14,3,0.9515
1,3,1,2,2,2,2,0,0,1,1,3,1,19,1,0.2212
1,2,1,1,2,3,3,1,2,1,1,4,1,24,1,0.2454
3,2,1,2,3,3,3,1,3,2,4,3,3,28,3,0.9728
3,2,1,2,3,1,1,1,2,2,5,3,2,34,3,0.9722
1,2,2,2,1,3,3,1,2,2,5,3,2,3,1,0.6754
2,2,2,2,2,1,1,1,2,2,4,1,2,13,3,0.9203
1,1,2,1,1,1,2,1,2,2,4,2,2,5,2,0.522
3,1,3,3,3,1,3,1,2,3,2,2,3,32,1,0.2667
1,1,1,1,3,3,3,1,1,1,1,4,1,36,1,0.13
1,1,2,1,1,1,1,1,1,2,5,2,1,8,2,0.5955
1,1,1,1,1,1,1,0,0,1,1,4,1,12,1,0.0402
2,2,2,2,2,2,2,1,3,1,1,4,2,24,2,0.5514
1,1,2,1,1,1,2,1,1,2,4,3,1,10,2,0.5252
3,2,2,3,3,3,2,1,1,3,4,3,2,34,2,0.8904
2,1,2,1,3,1,1,1,2,1,3,2,1,28,3,0.8208
3,2,1,2,3,1,3,1,1,1,3,2,2,25,3,0.9388
2,2,2,2,3,3,2,1,2,2,5,3,2,25,2,0.9382
1,1,1,1,1,1,1,0,0,1,1,3,1,12,1,0.0315
2,1,2,2,1,1,3,1,1,2,4,2,2,6,1,0.316
1,3,1,2,2,2,3,1,2,1,3,4,2,20,1,0.6505
3,2,2,2,3,3,2,1,1,2,5,4,2,26,3,0.9881
2,1,2,2,1,3,3,1,2,2,4,3,2,8,1,0.3933
2,1,3,2,1,3,3,1,2,2,4,1,2,8,1,0.2995
3,1,1,2,3,3,3,1,3,2,4,1,2,25,3,0.9154
1,1,3,1,1,1,1,0,0,3,2,2,1,10,1,0.0609
1,2,3,2,1,3,3,1,2,2,4,1,2,11,2,0.6239
3,2,2,3,3,3,1,1,2,3,2,1,3,32,3,0.8515
2,3,1,2,2,2,2,1,1,2,4,3,3,16,2,0.9259
3,3,2,3,3,3,3,1,2,2,4,2,3,26,2,0.9567
2,1,1,1,3,1,1,1,1,3,2,1,1,32,1,0.1766
2,3,2,2,2,3,3,1,3,2,5,3,2,22,3,0.9846
1,1,3,2,1,1,1,0,0,2,4,1,1,8,2,0.2432
1,1,1,1,3,3,2,1,1,3,2,2,1,36,1,0.1428
3,1,3,3,3,1,2,1,3,3,2,2,3,32,1,0.2695
1,1,1,1,3,3,3,1,1,1,1,1,1,29,1,0.0903
2,3,1,2,2,3,3,1,1,2,5,1,2,14,3,0.9792
2,2,2,2,3,3,3,1,2,2,5,2,2,34,2,0.8862
3,1,2,2,3,3,3,1,2,2,4,3,2,34,1,0.5787
2,1,2,2,1,3,1,1,3,2,5,1,2,9,3,0.8337
2,2,2,2,3,3,3,1,2,2,4,3,2,35,1,0.6679
2,2,1,2,3,3,3,1,3,2,4,2,2,34,3,0.9316
1,1,2,1,1,1,1,1,1,2,5,1,1,5,2,0.5705
2,1,2,2,3,3,3,1,2,2,5,1,2,26,1,0.5544
2,1,2,2,3,3,1,1,1,2,5,2,2,35,2,0.7213
1,1,2,2,1,3,3,1,3,3,2,2,2,8,1,0.1211
1,2,2,2,1,3,1,1,1,2,5,1,2,2,1,0.533
3,3,2,3,3,3,3,1,1,3,2,1,3,25,2,0.8767
1,1,1,1,3,1,1,1,1,1,3,1,1,29,1,0.1735
2,2,2,2,1,1,1,1,3,3,2,3,2,6,2,0.6503
3,2,2,3,3,1,1,1,3,3,2,1,3,26,2,0.7113
2,3,2,2,2,1,3,1,1,2,4,3,2,14,3,0.979
2,3,2,2,2,2,2,1,1,1,1,3,2,18,2,0.7408
2,2,2,2,2,3,3,1,1,3,2,2,2,20,1,0.3722
1,1,3,2,1,1,1,1,3,2,5,2,2,5,2,0.6176
2,3,3,3,1,3,1,1,2,3,2,1,3,2,2,0.7544
1,3,1,1,2,2,2,0,0,1,3,1,1,20,1,0.3412
2,2,2,2,3,1,1,1,1,2,4,1,2,27,1,0.5802
1,1,1,1,2,2,2,0,0,1,1,2,1,20,1,0.0398
